produto_id,sku,nome,categoria_id,marca,preco_lista,custo_unitario,ativo
1,1,Galaxy S23,1,Samsung,4200.0,3100.0,1
2,2,iPhone 14,1,Apple,5200.0,4100.0,1
3,3,Redmi Note 12,1,Xiaomi,1800.0,1200.0,1
4,4,Moto G84,1,Motorola,1700.0,1100.0,1
5,5,"Dell i5 15""",2,Dell,4500.0,3400.0,1
6,6,"Lenovo i7 15""",2,Lenovo,6200.0,4800.0,1
7,7,"Acer i5 15""",2,Acer,3900.0,2900.0,1
8,8,MacBook Air M1,2,Apple,6800.0,5200.0,1
9,9,"TV Samsung 55""",3,Samsung,3800.0,2900.0,1
10,10,"TV LG 65""",3,LG,5200.0,4100.0,1
11,11,"TV TCL 50""",3,TCL,2600.0,1900.0,1
12,12,Soundbar LG,4,LG,1500.0,900.0,1
13,13,Fone JBL Tune,4,JBL,600.0,350.0,1
14,14,AirPods 2,4,Apple,1400.0,900.0,1
15,15,Echo Dot,4,Amazon,450.0,280.0,1
16,16,Carregador USB-C 30W,5,Baseus,180.0,90.0,1
17,17,Cabo HDMI 2.1,5,Multilaser,90.0,40.0,1
18,18,"Monitor Dell 27""",6,Dell,1800.0,1200.0,1
19,19,PlayStation 5,7,Sony,4200.0,3600.0,1
20,20,Mouse Logitech,8,Logitech,250.0,120.0,1
